id;Sorular;A-??kk?;B-??kk?;C-??kk?;D-??kk?;E-??kk?;Do?ru Cevap1;Do?ru Cevap2;s
1;"12-16- ? -….-?-32               Ritmik saymada ""?”yerine hangi sayýlar gelmelidir?";20-24;16-24;24-28;20-28;;D;;s
2;65 den baþlayarak geriye doðru onar saydýðýmýzda 4. saymada hangi sayýyý söyleriz?;35;25;20;45;;A;;s
3;72….......87 Yandaki ilk sayýdan baþlayýp ikinci sayýya kadar üçer ritmik sayarsak kaç tane sayma yaparýz?;4;5;6;7;8;C;;s
4;66 sayýsý aþaðýdaki onluklardan hangisine daha yak?nd?r?;40;50;60;70;80;D;;s
5;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 1;47;48;49;50;;C;;s
6;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 2;48;49;50;51;;C;;s
7;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 3;49;50;51;52;;C;;s
8;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 4;50;51;52;53;;C;;s
9;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 5;51;52;53;54;;C;;s
10;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 6;52;53;54;55;;C;;s
11;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 7;53;54;55;56;;C;;s
12;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 8;54;55;56;57;;C;;s
13;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 9;55;56;57;58;;C;;s
14;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 10;56;57;58;59;;C;;s
15;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 11;57;58;59;60;;C;;s
16;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 12;58;59;60;61;;C;;s
17;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 13;59;60;61;62;;C;;s
18;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 14;60;61;62;63;;C;;s
19;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 15;61;62;63;64;;C;;s
20;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 16;62;63;64;65;;C;;s
21;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 17;63;64;65;66;;C;;s
22;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 18;64;65;66;67;;C;;s
23;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 19;65;66;67;68;;C;;s
24;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 20;66;67;68;69;;C;;s
25;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 21;67;68;69;70;;C;;s
26;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 22;68;69;70;71;;C;;s
27;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 23;69;70;71;72;;C;;s
28;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 24;70;71;72;73;;C;;s
29;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 25;71;72;73;74;;C;;s
30;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 26;72;73;74;75;;C;;s
31;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 27;73;74;75;76;;C;;s
32;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 28;74;75;76;77;;C;;s
33;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 29;75;76;77;78;;C;;s
34;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 30;76;77;78;79;;C;;s
35;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 31;77;78;79;80;;C;;s
36;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 32;78;79;80;81;;C;;s
37;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 33;79;80;81;82;;C;;s
38;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 34;80;81;82;83;;C;;s
39;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 35;81;82;83;84;;C;;s
40;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 36;82;83;84;85;;C;;s
41;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 37;83;84;85;86;;C;;s
42;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 38;84;85;86;87;;C;;s
43;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 39;85;86;87;88;;C;;s
44;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 40;86;87;88;89;;C;;s
45;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 41;87;88;89;90;;C;;s
