id,Sorular,A-??kk?,B-??kk?,C-??kk?,D-??kk?,E-??kk?,Do?ru Cevap1,Do?ru Cevap2,Do?ru Cevap3
1,"12-16- ? -….-?-32               Ritmik saymada ""?”yerine hangi sayýlar gelmelidir?",20-24,16-24,24-28,20-28,,D,,
2,65 den baþlayarak geriye doðru onar saydýðýmýzda 4. saymada hangi sayýyý söyleriz?,35,25,20,45,,A,,
3,72….......87 Yandaki ilk sayýdan baþlayýp ikinci sayýya kadar üçer ritmik sayarsak kaç tane sayma yaparýz?,4,5,6,7,8,C,,
4,66 sayýsý aþaðýdaki onluklardan hangisine daha yak?nd?r?,40,50,60,70,80,D,,
5,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",47,48,49,50,,C,
6,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",48,49,50,51,,C,
7,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",49,50,51,52,,C,
8,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",50,51,52,53,,C,
9,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",51,52,53,54,,C,
10,"Aslýnýn 37 tane cevizi vardýr. Kenan, Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?",52,53,54,55,,C,
