id,question,A-þýkký,B-þýkký,C-þýkký,D-þýkký,E-þýkký,trueAnswer1,trueAnswer2,trueAnswer3
1,aaa,abb,acc,add,adfd,aff,A,B,
2,baa,bbb,bcc,bdd,bss,bff,C,D,E
3,caa,cbb,ccc,cdd,css,cff,D,,
4,daa,dbb,dcc,ddd,dss,dff,D,,
5,faa,fbb,fcc,fdd,fss,dff,B,,
6,faa,fbb,fcc,fdd,fss,dff,c,,
7,faa,fbb,fcc,fdd,fss,dff,e,,
8,faa,fbb,fcc,fdd,fss,,a,,
9,faa,fbb,fcc,fdd,fss,,a,,
10,faa,fbb,fcc,fdd,fss,,B,c,
11,faa,fbb,fcc,fdd,,,c,,
12,faa,fbb,fcc,fdd,,,c,,
13,faa,fbb,fcc,fdd,,,a,,
14,faa,fbb,fcc,fdd,,,c,,
15,faa,fbb,fcc,fdd,,,B,,
